label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
5m,1790001000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,50,
15m,1790001000,Up,3.12,0.0,63s,,0.0,0.0,0.0,0.0,0,Up:144s,0.49,0,0,12,single-leg: Up naked 3sh -> 0.49 ($+0.00)
5m,1790001300,Down,50.0,50.0,125s,77s,50.0,1.0,0.0,1.0,1,resolution,,0,0,11,pair 50sh +$1.00
5m,1790001600,Down,50.0,0.0,32s,,0.0,0.0,0.0,0.0,0,Up:116s,0.49,0,0,56,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1790001900,Up,0.0,50.0,,132s,0.0,0.0,-2.6179,-2.6179,0,Down:180s*,0.46,0,0,14,single-leg: Down naked 50sh -> 0.46 ($-2.62)
15m,1790001900,Up,0.0,40.88,,135s,0.0,0.0,-18.6971,-18.6971,0,Down:540s*,0.03,1,0,15,single-leg: Down naked 41sh -> 0.03 ($-18.70)
5m,1790002200,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,38,
5m,1790002500,Down,50.0,0.0,35s,,0.0,0.0,0.0,0.0,0,Up:56s,0.49,0,0,31,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1790002800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,26,
15m,1790002800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,15,
5m,1790003100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,29,
5m,1790003400,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,0,
5m,1790003700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,41,
15m,1790003700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,24,
5m,1790004000,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,50,
